source,C,alpha_each_ramp,theta_total_cT_over_h,envelope_area_fraction,Q_integral_f_dtheta,Xi_seed_Q_over_C,ramp_theta,boundary_fed_global_causal,B1_productive,B2_productive,B1_global,B2_global
006D_ROBUST,23.591586299249,0.25,100.61045313127582,0.75,75.45783984845687,3.198506403567231,25.152613282818955,True,0.008100107455251948,0.0001312234815732564,0.20943951023931953,0.08772981689857207
006D_ROBUST,23.591586299249,0.25,335.3681771042527,0.75,251.52613282818953,10.661688011890767,83.84204427606318,True,0.0024300322365755846,1.1810113341593076e-05,0.06283185307179587,0.007895683520871485
006D_ROBUST,23.591586299249,0.5,6.707363542085054,0.5,3.353681771042527,0.14215584015854357,3.353681771042527,True,0.06075080591438961,0.0073813208384956724,1.5707963267948966,4.934802200544679
006D_ROBUST,23.591586299249,0.5,33.53681771042527,0.5,16.768408855212634,0.7107792007927178,16.768408855212634,True,0.012150161182877922,0.0002952528335398269,0.3141592653589793,0.19739208802178715
006D_ROBUST,23.591586299249,0.5,100.61045313127582,0.5,50.30522656563791,2.1323376023781537,50.30522656563791,True,0.004050053727625974,3.28058703933141e-05,0.10471975511965977,0.021932454224643017
006D_ROBUST,23.591586299249,0.5,335.3681771042527,0.5,167.68408855212635,7.107792007927179,167.68408855212635,True,0.0012150161182877923,2.952528335398269e-06,0.031415926535897934,0.0019739208802178713
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.1,6.707363542085054,0.9,6.036627187876549,246.34807608989684,0.6707363542085054,False,0.3037540295719481,0.18453302096239177,7.853981633974484,123.37005501361695
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.1,33.53681771042527,0.9,30.18313593938274,1231.740380449484,3.353681771042527,True,0.06075080591438961,0.007381320838495672,1.5707963267948966,4.934802200544678
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.1,100.61045313127582,0.9,90.54940781814824,3695.2211413484524,10.061045313127583,True,0.02025026863812987,0.0008201467598328521,0.5235987755982988,0.5483113556160752
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.1,335.3681771042527,0.9,301.8313593938274,12317.403804494841,33.536817710425275,True,0.00607508059143896,7.381320838495672e-05,0.15707963267948963,0.04934802200544678
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.25,6.707363542085054,0.75,5.03052265656379,205.29006340824733,1.6768408855212635,False,0.12150161182877922,0.02952528335398269,3.141592653589793,19.739208802178716
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.25,33.53681771042527,0.75,25.15261328281895,1026.4503170412368,8.384204427606317,True,0.024300322365755845,0.0011810113341593077,0.6283185307179586,0.7895683520871486
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.25,100.61045313127582,0.75,75.45783984845687,3079.3509511237107,25.152613282818955,True,0.008100107455251948,0.0001312234815732564,0.20943951023931953,0.08772981689857207
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.25,335.3681771042527,0.75,251.52613282818953,10264.503170412367,83.84204427606318,True,0.0024300322365755846,1.1810113341593076e-05,0.06283185307179587,0.007895683520871485
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.5,6.707363542085054,0.5,3.353681771042527,136.8600422721649,3.353681771042527,True,0.06075080591438961,0.0073813208384956724,1.5707963267948966,4.934802200544679
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.5,33.53681771042527,0.5,16.768408855212634,684.3002113608244,16.768408855212634,True,0.012150161182877922,0.0002952528335398269,0.3141592653589793,0.19739208802178715
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.5,100.61045313127582,0.5,50.30522656563791,2052.9006340824735,50.30522656563791,True,0.004050053727625974,3.28058703933141e-05,0.10471975511965977,0.021932454224643017
INT14D_N48_TEACHER_DIAGNOSTIC,0.02450446248126442,0.5,335.3681771042527,0.5,167.68408855212635,6843.002113608245,167.68408855212635,True,0.0012150161182877923,2.952528335398269e-06,0.031415926535897934,0.0019739208802178713
