A_comp,A_endpoint,A_link,A_out,C,E_comp,E_link,E_total,K_high,K_link,K_low,K_ratio,cancellation,chi,clearance,d_high,d_low,delta_f,exceptional,f_hi,f_lo,green,link_energy_fraction,major,negative_active_participation,negative_duty,ntail,omega_min,outward,positive_compensation_only,pot_a,pot_b,potential,q_comp,qbar,qcut,qlink,radius,route_duty,selected_as,separation,strict
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.375,1.0,0.03014503490179777,0.8425000724007319,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.375,2.0,0.03014503490179777,0.8425000724007319,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.375,4.0,0.03014503490179777,0.8425000724007319,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.375,1.0,0.03014503490179777,0.8425000724007319,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.375,2.0,0.03014503490179777,0.8425000724007319,,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.375,2.0,0.03014503490179777,0.8425000724007319,strict,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.375,2.0,0.03014503490179777,0.8425000724007319,green,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.375,2.0,0.03014503490179777,0.8425000724007319,major,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.375,2.0,0.03014503490179777,0.8425000724007319,exceptional,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.375,4.0,0.03014503490179777,0.8425000724007319,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.0,1.0,0.03014503490179777,0.8658867135302155,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.0,2.0,0.03014503490179777,0.8658867135302155,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.0,4.0,0.03014503490179777,0.8658867135302155,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.0,1.0,0.03014503490179777,0.8658867135302155,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.0,2.0,0.03014503490179777,0.8658867135302155,,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.0,2.0,0.03014503490179777,0.8658867135302155,strict,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.0,2.0,0.03014503490179777,0.8658867135302155,green,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.0,2.0,0.03014503490179777,0.8658867135302155,major,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.0,2.0,0.03014503490179777,0.8658867135302155,exceptional,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-1.0,4.0,0.03014503490179777,0.8658867135302155,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.625,1.0,0.03014503490179777,0.8818993661212398,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.625,2.0,0.03014503490179777,0.8818993661212398,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.625,4.0,0.03014503490179777,0.8818993661212398,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.625,1.0,0.03014503490179777,0.8818993661212398,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.625,2.0,0.03014503490179777,0.8818993661212398,,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.625,2.0,0.03014503490179777,0.8818993661212398,strict,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.625,2.0,0.03014503490179777,0.8818993661212398,green,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.625,2.0,0.03014503490179777,0.8818993661212398,major,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.625,2.0,0.03014503490179777,0.8818993661212398,exceptional,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.625,4.0,0.03014503490179777,0.8818993661212398,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.25,1.0,0.03014503490179777,0.8943326357240009,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.25,2.0,0.03014503490179777,0.8943326357240009,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,1,4.498431610619719,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.25,4.0,0.03014503490179777,0.8943326357240009,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,False,1.0,1.0,False,0.0,False,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.25,1.0,0.03014503490179777,0.8943326357240009,,8.645570546689035,False
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.25,2.0,0.03014503490179777,0.8943326357240009,,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.25,2.0,0.03014503490179777,0.8943326357240009,strict,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.25,2.0,0.03014503490179777,0.8943326357240009,green,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.25,2.0,0.03014503490179777,0.8943326357240009,major,8.645570546689035,True
-0.016827463427681263,1.3790600295982616,-0.0,1.3622325661705803,1.3395840995848987,0.8248250855788429,0.0,1.8248250855788428,0.9352886888387327,0.09991163004077612,0.010672997478242916,87.63130420908787,1.0247057130266464,0.1343755027701059,0.003870727028697729,1.0340157619304955,9.67958630861953,0.0,True,1.0,1.0,True,0.0,True,0.49396922138125093,0.9014074266803556,2,8.996863221239439,True,True,0.9884588225092739,1.1226674255818845,027A_rank1,4.0,-1.4744752567365287,-0.25,2.0,0.03014503490179777,0.8943326357240009,exceptional,8.645570546689035,True
